date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,cumulative_confirmed_for_each_Location,precentage_of_recovered_per_day,precentage_of_tested_per_day,precentage_of_deceased_per_day,precentage_of_confirmed_per_day,precentage_of_death_from_confirmed,recovery-rate,case_to_recovery_ratio
2020-10-11,Sd_Dw,0.0,,,,34.0,764.974429562179,87779.05924540068,2406760.221967655,34.0,,,,0.0,22.499247928299383,2581.7370366294317,0.00038733611743260374
2020-10-11,Sd_Dc,0.0,,,,6.0,764.974429562179,87779.05924540068,2406760.221967655,6.0,,,,0.0,127.49573826036317,14629.84320756678,6.835343248810654e-05
2020-10-11,Sd_Si,0.0,,,,243.0,764.974429562179,87779.05924540068,2406760.221967655,243.0,,,,0.0,3.148042920008967,361.2306964831304,0.002768314015768315
2020-10-11,Sd_Rs,0.0,,,,391.0,764.974429562179,87779.05924540068,2406760.221967655,391.0,,,,0.0,1.9564563415912506,224.49887275038537,0.004454365350474943
2020-10-11,Sd_Nw,0.0,,,,191.0,764.974429562179,87779.05924540068,2406760.221967655,191.0,,,,0.0,4.005101725456434,459.5762264157104,0.0021759176008713916
2020-10-11,Sd_Nr,0.0,,,,438.0,764.974429562179,87779.05924540068,2406760.221967655,438.0,,,,0.0,1.7465169624707284,200.40881106255864,0.0049898005716317775
2020-10-11,Sd_No,0.0,,,,385.0,764.974429562179,87779.05924540068,2406760.221967655,385.0,,,,0.0,1.986946570291374,227.99755648156022,0.004386011917986836
2020-10-11,Sd_Ks,0.0,,,,15.0,764.974429562179,87779.05924540068,2406760.221967655,15.0,,,,0.0,50.998295304145266,5851.937283026712,0.00017088358122026634
2020-10-11,Sd_Kn,0.0,,,,203.0,764.974429562179,87779.05924540068,2406760.221967655,203.0,,,,0.0,3.7683469436560544,432.4091588443383,0.0023126244658476045
2020-10-11,Sd_Nb,0.0,,,,30.0,764.974429562179,87779.05924540068,2406760.221967655,30.0,,,,0.0,25.499147652072633,2925.968641513356,0.0003417671624405327
2020-10-11,Sd_Ka,1.0,,,,228.0,764.974429562179,87779.05924540068,2406760.221967655,228.0,,,,0.0043859649122807015,3.355151006851662,384.99587388333634,0.0025974304345480486
2020-10-11,Sd_Gz,0.0,,,,1137.0,764.974429562179,87779.05924540068,2406760.221967655,1137.0,,,,0.0,0.6728007296061381,77.20233882620992,0.01295297545649619
2020-10-11,Sd_Gk,0.0,,,,69.0,764.974429562179,87779.05924540068,2406760.221967655,69.0,,,,0.0,11.086585935683754,1272.1602789188505,0.0007860644736132252
2020-10-11,Sd_Gd,0.0,,,,274.0,764.974429562179,87779.05924540068,2406760.221967655,274.0,,,,0.0,2.791877480153938,320.3615300927032,0.0031214734169568653
2020-10-11,Sd_Ds,0.0,,,,39.0,764.974429562179,87779.05924540068,2406760.221967655,39.0,,,,0.0,19.614728963132794,2250.7451088564276,0.0004442973111726925
2020-10-11,Sd_Dn,0.0,,,,146.0,764.974429562179,87779.05924540068,2406760.221967655,146.0,,,,0.0,5.239550887412185,601.2264331876759,0.0016632668572105925
2020-10-11,Sd_De,0.0,,,,21.0,764.974429562179,87779.05924540068,2406760.221967655,21.0,,,,0.0,36.42735378867519,4179.955202161937,0.0002392370137083729
2020-10-11,Sd_Kh,5.0,,,,9841.0,764.974429562179,87779.05924540068,2406760.221967655,9841.0,,,,0.000508078447312265,0.07773340408110752,8.9197296255869,0.11211102151924275
2020-10-12,Co_91_91669,0.0,0.0,1.0,,7.0,2.0,5.0,2406760.221967655,7.0,0.2,,0.0,0.0,0.2857142857142857,0.7142857142857143,1.4
2020-10-17,Id_Pa_9128,0.0,0.0,0.0,,0.0,0.0,0.0,2406760.221967655,0.0,,,,,,,
2020-10-24,Ke_16,18.0,,,,422.0,764.974429562179,87779.05924540068,2406760.221967655,422.0,,,,0.04265402843601896,1.8127356150762537,208.00724939668407,0.004807524751663493
2020-10-29,Co_94_94887,0.0,0.0,3.0,,13.0,0.0,13.0,2406760.221967655,13.0,0.23076923076923078,,,0.0,0.0,1.0,1.0
2020-11-15,Bd_E_54,0.0,,,,1085.0,764.974429562179,87779.05924540068,2406760.221967655,1085.0,,,,0.0,0.705045557200165,80.90235875152136,0.012360579041599266
2020-12-04,Ke_37,0.0,,,,95.0,764.974429562179,87779.05924540068,2406760.221967655,95.0,,,,0.0,8.052362416443989,923.9900973200072,0.001082262681061687
2020-12-04,Ke_39,0.0,,,,213.0,764.974429562179,87779.05924540068,2406760.221967655,213.0,,,,0.0,3.5914292467707933,412.10825936807834,0.002426546853327782
